datetime,city,lat,lon,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2023-01-01 00:00:00,Busan,35.1799528,129.0752365,2,534.06,15.2,67.17,0.21,19.79,23.39,27.56,7.92
2023-01-01 01:00:00,Busan,35.1799528,129.0752365,2,473.98,4.25,65.8,1.72,16.93,24.38,28.71,7.09
2023-01-01 02:00:00,Busan,35.1799528,129.0752365,3,447.27,1.42,60.32,5.28,16.21,26.6,31.41,7.16
2023-01-01 03:00:00,Busan,35.1799528,129.0752365,3,427.25,0.67,54.15,9.75,16.93,30.12,35.7,7.09
2023-01-01 04:00:00,Busan,35.1799528,129.0752365,3,413.89,0.39,47.98,14.48,17.64,34.81,41.36,6.97
2023-01-01 05:00:00,Busan,35.1799528,129.0752365,3,413.89,0.43,45.24,15.91,18.6,40.06,47.46,6.9
2023-01-01 06:00:00,Busan,35.1799528,129.0752365,3,433.92,1.27,49.35,11.35,20.98,45.47,53.65,6.9
2023-01-01 07:00:00,Busan,35.1799528,129.0752365,4,540.73,16.09,61.01,1.06,30.52,53.39,62.48,6.97
2023-01-01 08:00:00,Busan,35.1799528,129.0752365,4,660.9,45.6,63.75,0.02,36.72,61.97,72.09,6.65
2023-01-01 09:00:00,Busan,35.1799528,129.0752365,4,714.3,57.22,63.75,1.48,38.15,70.48,81.58,5.64
2023-01-01 10:00:00,Busan,35.1799528,129.0752365,5,727.65,56.77,59.63,7.42,37.19,78.76,90.77,3.93
2023-01-01 11:00:00,Busan,35.1799528,129.0752365,5,700.95,47.83,52.09,15.56,29.09,86.87,99.49,2.06
2023-01-01 12:00:00,Busan,35.1799528,129.0752365,5,680.92,32.63,45.24,27.18,31.95,97.34,111.18,0.74
2023-01-01 13:00:00,Busan,35.1799528,129.0752365,5,727.65,14.19,38.73,55.07,46.25,99.25,115.37,0.03
2023-01-01 14:00:00,Busan,35.1799528,129.0752365,5,741.0,11.85,40.44,62.23,43.87,97.29,113.09,0.05
2023-01-01 15:00:00,Busan,35.1799528,129.0752365,5,734.33,9.72,45.24,60.8,39.58,92.94,107.86,0.08
2023-01-01 16:00:00,Busan,35.1799528,129.0752365,5,727.65,9.05,56.21,46.49,33.86,84.47,97.72,0.39
2023-01-01 17:00:00,Busan,35.1799528,129.0752365,4,714.3,7.26,76.77,21.1,28.13,74.92,86.78,1.5
2023-01-01 18:00:00,Busan,35.1799528,129.0752365,4,674.25,6.93,90.48,3.04,24.8,66.19,77.31,2.63
2023-01-01 19:00:00,Busan,35.1799528,129.0752365,4,620.84,6.93,85.68,2.41,23.6,57.16,67.14,3.13
2023-01-01 20:00:00,Busan,35.1799528,129.0752365,3,527.38,1.96,74.71,10.01,20.74,42.71,50.25,3.26
2023-01-01 21:00:00,Busan,35.1799528,129.0752365,3,447.27,0.27,58.26,24.32,18.12,29.63,34.98,3.39
2023-01-01 22:00:00,Busan,35.1799528,129.0752365,2,413.89,0.08,47.98,32.54,17.4,22.95,27.33,3.58
2023-01-01 23:00:00,Busan,35.1799528,129.0752365,2,393.87,0.04,41.47,35.76,16.21,19.75,23.64,3.61
2023-01-02 00:00:00,Busan,35.1799528,129.0752365,2,363.83,0.01,32.56,42.56,14.66,16.57,19.94,3.39
2023-01-02 01:00:00,Busan,35.1799528,129.0752365,2,337.12,0.0,25.7,49.35,14.07,13.18,15.93,3.01
2023-01-02 02:00:00,Busan,35.1799528,129.0752365,2,317.1,0.0,20.73,53.64,12.99,10.1,12.3,2.85
2023-01-02 03:00:00,Busan,35.1799528,129.0752365,1,293.73,0.0,16.96,57.22,12.28,7.53,9.31,2.56
2023-01-02 04:00:00,Busan,35.1799528,129.0752365,1,277.04,0.0,14.05,59.37,11.8,5.51,6.95,2.28
2023-01-02 05:00:00,Busan,35.1799528,129.0752365,2,267.03,0.0,13.02,60.08,11.32,4.27,5.52,2.22
2023-01-02 06:00:00,Busan,35.1799528,129.0752365,2,260.35,0.0,13.54,60.08,10.97,3.52,4.7,2.28
2023-01-02 07:00:00,Busan,35.1799528,129.0752365,1,270.37,0.01,18.85,56.51,11.8,3.3,4.54,2.37
2023-01-02 08:00:00,Busan,35.1799528,129.0752365,1,283.72,0.04,26.05,50.78,12.16,3.33,4.66,2.44
2023-01-02 09:00:00,Busan,35.1799528,129.0752365,1,293.73,1.44,27.76,50.78,12.76,3.64,5.12,2.53
2023-01-02 10:00:00,Busan,35.1799528,129.0752365,1,303.75,5.03,23.99,56.51,13.95,4.14,5.78,2.63
2023-01-02 11:00:00,Busan,35.1799528,129.0752365,2,300.41,6.59,19.54,60.8,13.35,4.17,5.81,2.47
2023-01-02 12:00:00,Busan,35.1799528,129.0752365,2,287.06,6.15,15.59,64.37,11.56,3.79,5.25,2.03
2023-01-02 13:00:00,Busan,35.1799528,129.0752365,2,260.35,4.58,12.34,71.53,8.82,3.05,4.16,1.54
2023-01-02 14:00:00,Busan,35.1799528,129.0752365,2,253.68,4.19,12.0,71.53,8.11,2.88,3.85,1.38
