datetime,city,lat,lon,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2023-01-01 00:00:00,California,38.628683,-92.5659635,1,310.42,0.45,5.65,27.18,0.39,8.69,8.93,0.11
2023-01-01 01:00:00,California,38.628683,-92.5659635,1,303.75,1.08,4.33,32.19,0.35,7.39,7.67,0.23
2023-01-01 02:00:00,California,38.628683,-92.5659635,1,287.06,1.15,3.51,36.48,0.27,5.08,5.43,0.42
2023-01-01 03:00:00,California,38.628683,-92.5659635,1,273.7,0.92,2.91,41.84,0.21,4.15,4.6,0.55
2023-01-01 04:00:00,California,38.628683,-92.5659635,1,257.02,0.7,2.1,50.78,0.17,3.57,4.16,0.59
2023-01-01 05:00:00,California,38.628683,-92.5659635,1,250.34,0.53,1.95,52.93,0.14,3.46,4.14,0.68
2023-01-01 06:00:00,California,38.628683,-92.5659635,1,243.66,0.38,1.97,53.64,0.13,3.41,4.15,0.74
2023-01-01 07:00:00,California,38.628683,-92.5659635,1,240.33,0.29,2.03,53.64,0.12,3.38,4.15,0.78
2023-01-01 08:00:00,California,38.628683,-92.5659635,1,240.33,0.06,2.46,52.21,0.1,3.31,4.08,0.74
2023-01-01 09:00:00,California,38.628683,-92.5659635,1,233.65,0.0,2.57,52.93,0.07,3.19,3.92,0.51
2023-01-01 10:00:00,California,38.628683,-92.5659635,1,230.31,0.0,2.38,55.07,0.04,3.21,3.88,0.32
2023-01-01 11:00:00,California,38.628683,-92.5659635,1,230.31,0.0,2.1,55.07,0.05,3.5,4.08,0.27
2023-01-01 12:00:00,California,38.628683,-92.5659635,1,230.31,0.0,1.91,52.93,0.07,3.91,4.41,0.23
2023-01-01 13:00:00,California,38.628683,-92.5659635,1,233.65,0.0,1.84,50.07,0.12,4.35,4.82,0.2
2023-01-01 14:00:00,California,38.628683,-92.5659635,1,233.65,0.0,1.86,47.92,0.14,4.73,5.21,0.19
2023-01-01 15:00:00,California,38.628683,-92.5659635,1,230.31,0.0,1.71,49.35,0.17,4.75,5.26,0.18
2023-01-01 16:00:00,California,38.628683,-92.5659635,1,226.97,0.0,1.48,52.21,0.19,4.51,4.98,0.18
2023-01-01 17:00:00,California,38.628683,-92.5659635,1,220.3,0.0,1.27,52.93,0.18,4.33,4.81,0.19
2023-01-01 18:00:00,California,38.628683,-92.5659635,1,216.96,0.0,1.15,52.93,0.18,4.35,4.87,0.21
2023-01-01 19:00:00,California,38.628683,-92.5659635,1,216.96,0.0,1.17,50.07,0.15,4.59,5.11,0.24
2023-01-01 20:00:00,California,38.628683,-92.5659635,1,216.96,0.0,1.27,46.49,0.1,4.89,5.37,0.26
2023-01-01 21:00:00,California,38.628683,-92.5659635,1,216.96,0.0,1.39,42.92,0.07,5.27,5.73,0.27
2023-01-01 22:00:00,California,38.628683,-92.5659635,1,216.96,0.0,1.76,39.7,0.05,5.69,6.14,0.29
2023-01-01 23:00:00,California,38.628683,-92.5659635,1,220.3,0.0,2.63,35.41,0.03,6.01,6.48,0.32
2023-01-02 00:00:00,California,38.628683,-92.5659635,1,223.64,0.1,3.47,31.11,0.02,6.3,6.84,0.38
2023-01-02 01:00:00,California,38.628683,-92.5659635,1,226.97,0.47,3.43,28.25,0.02,6.52,7.14,0.41
2023-01-02 02:00:00,California,38.628683,-92.5659635,1,223.64,0.84,2.78,26.11,0.01,6.78,7.49,0.38
2023-01-02 03:00:00,California,38.628683,-92.5659635,1,220.3,0.91,2.36,25.75,0.02,7.09,7.86,0.38
2023-01-02 04:00:00,California,38.628683,-92.5659635,1,216.96,0.28,1.24,48.64,0.33,8.81,10.6,0.24
2023-01-02 05:00:00,California,38.628683,-92.5659635,1,216.96,0.21,1.02,52.93,0.35,9.2,11.32,0.3
2023-01-02 06:00:00,California,38.628683,-92.5659635,1,216.96,0.19,1.01,52.21,0.35,9.23,11.49,0.31
2023-01-02 07:00:00,California,38.628683,-92.5659635,1,220.3,0.13,1.32,50.07,0.32,9.02,11.22,0.32
2023-01-02 08:00:00,California,38.628683,-92.5659635,1,223.64,0.02,1.97,45.78,0.25,8.49,10.51,0.29
2023-01-02 09:00:00,California,38.628683,-92.5659635,1,226.97,0.0,2.66,43.27,0.21,7.77,9.62,0.25
2023-01-02 10:00:00,California,38.628683,-92.5659635,1,230.31,0.0,3.47,39.34,0.16,7.14,8.53,0.23
2023-01-02 11:00:00,California,38.628683,-92.5659635,1,230.31,0.0,4.03,34.33,0.1,6.78,7.71,0.24
2023-01-02 12:00:00,California,38.628683,-92.5659635,1,233.65,0.0,4.28,30.04,0.06,6.59,7.38,0.28
2023-01-02 13:00:00,California,38.628683,-92.5659635,1,233.65,0.0,4.54,26.46,0.06,6.54,7.3,0.3
2023-01-02 14:00:00,California,38.628683,-92.5659635,1,233.65,0.0,4.93,23.25,0.09,6.5,7.3,0.29
2023-01-02 15:00:00,California,38.628683,-92.5659635,1,233.65,0.0,5.27,21.28,0.11,6.45,7.23,0.28
2023-01-02 16:00:00,California,38.628683,-92.5659635,1,233.65,0.0,5.36,19.67,0.09,6.25,6.92,0.28
2023-01-02 17:00:00,California,38.628683,-92.5659635,1,230.31,0.0,5.23,18.24,0.07,5.97,6.5,0.28
2023-01-02 18:00:00,California,38.628683,-92.5659635,1,226.97,0.0,4.97,16.99,0.06,5.66,6.09,0.27
2023-01-02 19:00:00,California,38.628683,-92.5659635,1,223.64,0.0,4.76,16.27,0.06,5.48,5.89,0.27
2023-01-02 20:00:00,California,38.628683,-92.5659635,1,223.64,0.0,4.5,15.91,0.07,5.41,5.86,0.26
2023-01-02 21:00:00,California,38.628683,-92.5659635,1,223.64,0.0,4.28,16.45,0.09,5.55,6.06,0.22
2023-01-02 22:00:00,California,38.628683,-92.5659635,1,230.31,0.01,4.41,17.88,0.13,5.77,6.36,0.18
2023-01-02 23:00:00,California,38.628683,-92.5659635,1,236.99,0.02,5.01,17.17,0.12,5.62,6.22,0.23
2023-01-03 00:00:00,California,38.628683,-92.5659635,1,240.33,0.07,5.65,15.74,0.12,5.56,6.28,0.26
2023-01-03 01:00:00,California,38.628683,-92.5659635,1,243.66,0.23,5.57,14.66,0.11,5.67,6.56,0.27
2023-01-03 02:00:00,California,38.628683,-92.5659635,1,240.33,0.36,4.88,14.13,0.09,6.4,7.41,0.27
2023-01-03 03:00:00,California,38.628683,-92.5659635,1,236.99,0.41,4.24,14.13,0.07,7.57,8.67,0.3
2023-01-03 04:00:00,California,38.628683,-92.5659635,1,233.65,0.35,3.68,15.02,0.06,8.79,9.86,0.31
2023-01-03 05:00:00,California,38.628683,-92.5659635,1,233.65,0.29,3.47,16.45,0.06,9.61,10.6,0.28
2023-01-03 06:00:00,California,38.628683,-92.5659635,1,236.99,0.24,3.6,16.81,0.07,9.96,10.89,0.27
2023-01-03 07:00:00,California,38.628683,-92.5659635,1,240.33,0.13,4.07,16.09,0.09,9.83,10.64,0.25
2023-01-03 08:00:00,California,38.628683,-92.5659635,1,240.33,0.03,4.07,16.63,0.09,8.85,9.34,0.21
2023-01-03 09:00:00,California,38.628683,-92.5659635,1,230.31,0.01,3.17,19.67,0.09,5.66,5.81,0.17
2023-01-03 10:00:00,California,38.628683,-92.5659635,1,220.3,0.0,2.4,21.46,0.09,2.26,2.3,0.12
2023-01-03 11:00:00,California,38.628683,-92.5659635,1,216.96,0.0,2.27,20.74,0.08,1.38,1.41,0.12
2023-01-03 12:00:00,California,38.628683,-92.5659635,1,213.62,0.0,2.31,20.21,0.1,0.83,0.86,0.13
2023-01-03 13:00:00,California,38.628683,-92.5659635,1,210.29,0.0,2.33,20.92,0.12,0.56,0.59,0.13
2023-01-03 14:00:00,California,38.628683,-92.5659635,1,208.62,0.0,2.29,22.53,0.13,0.5,0.53,0.13
2023-01-03 15:00:00,California,38.628683,-92.5659635,1,203.61,0.0,2.29,23.25,0.15,0.5,0.52,0.12
2023-01-03 16:00:00,California,38.628683,-92.5659635,1,201.94,0.0,2.33,22.89,0.15,0.5,0.51,0.11
2023-01-03 17:00:00,California,38.628683,-92.5659635,1,198.6,0.0,1.93,25.39,0.19,0.5,0.52,0.12
2023-01-03 18:00:00,California,38.628683,-92.5659635,1,196.93,0.0,1.71,26.46,0.18,0.5,0.53,0.14
2023-01-03 19:00:00,California,38.628683,-92.5659635,1,196.93,0.0,1.59,24.68,0.11,0.5,0.54,0.17
2023-01-03 20:00:00,California,38.628683,-92.5659635,1,196.93,0.0,1.71,22.35,0.14,0.5,0.54,0.18
2023-01-03 21:00:00,California,38.628683,-92.5659635,1,198.6,0.0,1.99,20.74,0.21,0.5,0.54,0.18
2023-01-03 22:00:00,California,38.628683,-92.5659635,1,201.94,0.0,2.33,19.85,0.24,0.5,0.55,0.18
2023-01-03 23:00:00,California,38.628683,-92.5659635,1,206.95,0.01,2.83,19.49,0.32,0.5,0.57,0.18
2023-01-04 00:00:00,California,38.628683,-92.5659635,1,213.62,0.36,2.57,21.28,0.41,0.76,0.88,0.18
2023-01-04 01:00:00,California,38.628683,-92.5659635,1,216.96,0.63,1.91,29.68,0.53,1.33,1.62,0.2
2023-01-04 02:00:00,California,38.628683,-92.5659635,1,216.96,0.6,1.63,41.13,0.69,1.68,2.44,0.28
2023-01-04 03:00:00,California,38.628683,-92.5659635,1,216.96,0.5,1.5,52.93,0.85,1.97,3.73,0.38
2023-01-04 04:00:00,California,38.628683,-92.5659635,2,216.96,0.4,1.36,62.23,0.84,2.17,4.25,0.49
2023-01-04 05:00:00,California,38.628683,-92.5659635,2,223.64,0.33,1.31,64.37,0.76,2.41,4.08,0.55
2023-01-04 06:00:00,California,38.628683,-92.5659635,2,226.97,0.24,1.27,62.94,0.72,2.75,4.03,0.55
2023-01-04 07:00:00,California,38.628683,-92.5659635,1,236.99,0.11,1.35,58.65,0.55,2.68,3.49,0.51
2023-01-04 08:00:00,California,38.628683,-92.5659635,1,247.0,0.02,1.69,53.64,0.43,2.25,2.61,0.49
2023-01-04 09:00:00,California,38.628683,-92.5659635,1,257.02,0.0,2.4,48.64,0.58,1.6,1.78,0.54
2023-01-04 10:00:00,California,38.628683,-92.5659635,1,263.69,0.0,3.38,44.7,0.98,1.17,1.38,0.63
2023-01-04 11:00:00,California,38.628683,-92.5659635,1,263.69,0.0,3.47,47.21,1.34,0.85,1.09,0.68
2023-01-04 12:00:00,California,38.628683,-92.5659635,1,250.34,0.0,2.74,54.36,1.55,0.56,0.75,0.64
2023-01-04 13:00:00,California,38.628683,-92.5659635,2,233.65,0.0,2.16,63.66,1.68,0.5,0.64,0.55
2023-01-04 14:00:00,California,38.628683,-92.5659635,2,226.97,0.0,1.97,68.66,1.68,0.5,0.61,0.53
2023-01-04 15:00:00,California,38.628683,-92.5659635,2,226.97,0.0,1.95,72.24,1.53,0.5,0.61,0.56
2023-01-04 16:00:00,California,38.628683,-92.5659635,2,226.97,0.0,1.91,73.67,1.37,0.5,0.61,0.61
2023-01-04 17:00:00,California,38.628683,-92.5659635,2,226.97,0.0,1.74,75.1,1.18,0.5,0.61,0.66
2023-01-04 18:00:00,California,38.628683,-92.5659635,2,223.64,0.0,1.44,78.68,0.79,0.5,0.61,0.7
2023-01-04 19:00:00,California,38.628683,-92.5659635,2,220.3,0.0,1.18,81.54,0.67,0.5,0.61,0.69
2023-01-04 20:00:00,California,38.628683,-92.5659635,2,220.3,0.0,1.39,82.25,1.42,0.5,0.63,0.62
2023-01-04 21:00:00,California,38.628683,-92.5659635,2,220.3,0.0,1.61,81.54,1.71,0.5,0.64,0.54
2023-01-04 22:00:00,California,38.628683,-92.5659635,2,226.97,0.0,1.71,77.25,1.45,0.53,0.68,0.53
2023-01-04 23:00:00,California,38.628683,-92.5659635,2,230.31,0.0,1.86,72.96,1.28,0.61,0.76,0.56
2023-01-05 00:00:00,California,38.628683,-92.5659635,2,230.31,0.01,2.08,70.81,1.33,0.5,0.65,0.62
2023-01-05 01:00:00,California,38.628683,-92.5659635,2,226.97,0.07,2.18,70.1,1.53,0.5,0.65,0.66
2023-01-05 02:00:00,California,38.628683,-92.5659635,2,223.64,0.14,2.16,71.53,1.91,0.5,0.66,0.66
2023-01-05 03:00:00,California,38.628683,-92.5659635,2,220.3,0.19,2.25,73.67,2.32,0.5,0.68,0.66
2023-01-05 04:00:00,California,38.628683,-92.5659635,2,216.96,0.24,2.08,75.82,2.53,0.5,0.68,0.66
2023-01-05 05:00:00,California,38.628683,-92.5659635,2,213.62,0.24,1.69,78.68,2.38,0.5,0.67,0.67
2023-01-05 06:00:00,California,38.628683,-92.5659635,2,211.95,0.2,1.5,80.82,2.21,0.5,0.67,0.7
2023-01-05 07:00:00,California,38.628683,-92.5659635,2,211.95,0.13,1.67,80.11,2.06,0.6,0.78,0.78
2023-01-05 08:00:00,California,38.628683,-92.5659635,2,213.62,0.03,2.14,77.25,1.88,0.72,0.93,0.94
2023-01-05 09:00:00,California,38.628683,-92.5659635,2,216.96,0.0,2.53,74.39,1.76,0.84,1.08,1.09
2023-01-05 10:00:00,California,38.628683,-92.5659635,2,220.3,0.0,2.74,71.53,1.68,0.94,1.19,1.2
2023-01-05 11:00:00,California,38.628683,-92.5659635,2,220.3,0.0,2.87,70.1,1.68,1.0,1.25,1.28
2023-01-05 12:00:00,California,38.628683,-92.5659635,2,220.3,0.0,2.83,68.66,1.61,1.05,1.3,1.33
2023-01-05 13:00:00,California,38.628683,-92.5659635,2,220.3,0.0,2.72,67.23,1.52,1.11,1.35,1.33
2023-01-05 14:00:00,California,38.628683,-92.5659635,2,220.3,0.0,2.57,67.23,1.48,1.29,1.56,1.31
2023-01-05 15:00:00,California,38.628683,-92.5659635,2,223.64,0.0,2.96,65.09,2.21,1.67,2.0,1.31
2023-01-05 16:00:00,California,38.628683,-92.5659635,2,230.31,0.0,3.81,62.23,3.49,2.27,2.68,1.31
2023-01-05 17:00:00,California,38.628683,-92.5659635,2,233.65,0.0,4.03,60.08,4.05,2.56,2.98,1.31
2023-01-05 18:00:00,California,38.628683,-92.5659635,1,233.65,0.0,3.9,59.37,4.05,2.46,2.86,1.31
2023-01-05 19:00:00,California,38.628683,-92.5659635,2,230.31,0.0,3.51,60.08,3.73,2.28,2.63,1.27
2023-01-05 20:00:00,California,38.628683,-92.5659635,2,226.97,0.0,2.96,62.23,3.1,1.98,2.27,1.19
2023-01-05 21:00:00,California,38.628683,-92.5659635,2,226.97,0.0,2.63,63.66,2.59,1.8,2.07,1.03
2023-01-05 22:00:00,California,38.628683,-92.5659635,2,226.97,0.0,2.7,63.66,2.5,1.94,2.21,1.03
2023-01-05 23:00:00,California,38.628683,-92.5659635,2,230.31,0.0,2.83,63.66,2.53,2.25,2.53,1.27
2023-01-06 00:00:00,California,38.628683,-92.5659635,2,233.65,0.04,2.96,64.37,2.06,2.16,2.44,1.39
2023-01-06 01:00:00,California,38.628683,-92.5659635,2,233.65,0.13,2.87,65.09,1.68,1.68,1.93,1.44
2023-01-06 02:00:00,California,38.628683,-92.5659635,2,233.65,0.25,2.57,65.8,1.58,1.26,1.5,1.36
2023-01-06 03:00:00,California,38.628683,-92.5659635,2,230.31,0.34,2.44,67.23,1.74,1.04,1.29,1.28
2023-01-06 04:00:00,California,38.628683,-92.5659635,2,233.65,0.41,2.66,67.95,2.03,1.09,1.37,1.25
2023-01-06 05:00:00,California,38.628683,-92.5659635,2,233.65,0.41,3.13,68.66,2.29,1.26,1.56,1.22
2023-01-06 06:00:00,California,38.628683,-92.5659635,2,233.65,0.3,3.56,69.38,2.44,1.37,1.67,1.16
2023-01-06 07:00:00,California,38.628683,-92.5659635,2,230.31,0.19,3.73,69.38,2.32,1.34,1.62,1.12
2023-01-06 08:00:00,California,38.628683,-92.5659635,2,233.65,0.04,4.03,68.66,2.03,1.31,1.59,1.17
2023-01-06 09:00:00,California,38.628683,-92.5659635,2,233.65,0.0,4.11,67.23,1.73,1.3,1.59,1.23
2023-01-06 10:00:00,California,38.628683,-92.5659635,2,236.99,0.0,4.24,65.8,1.39,1.44,1.77,1.2
2023-01-06 11:00:00,California,38.628683,-92.5659635,2,243.66,0.0,4.58,62.94,1.03,1.62,1.99,0.98
2023-01-06 12:00:00,California,38.628683,-92.5659635,2,247.0,0.0,4.8,60.08,0.83,1.93,2.36,0.7
2023-01-06 13:00:00,California,38.628683,-92.5659635,1,253.68,0.0,4.93,57.94,1.01,2.69,3.17,1.11
2023-01-06 14:00:00,California,38.628683,-92.5659635,1,260.35,0.0,4.97,55.79,1.33,3.68,4.22,1.39
2023-01-06 15:00:00,California,38.628683,-92.5659635,1,263.69,0.0,5.01,54.36,1.89,4.85,5.45,1.5
2023-01-06 16:00:00,California,38.628683,-92.5659635,1,263.69,0.0,5.06,53.64,2.56,6.17,6.85,1.58
