datetime,city,lat,lon,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2023-01-01 00:00:00,London,51.5073219,-0.1276474,2,198.6,0.02,8.91,67.23,3.93,3.17,3.39,0.09
2023-01-01 01:00:00,London,51.5073219,-0.1276474,2,200.27,0.0,8.23,67.23,3.67,4.43,4.68,0.09
2023-01-01 02:00:00,London,51.5073219,-0.1276474,2,198.6,0.0,8.23,65.8,3.52,6.2,6.55,0.09
2023-01-01 03:00:00,London,51.5073219,-0.1276474,2,198.6,0.0,8.23,65.8,3.37,7.58,8.05,0.09
2023-01-01 04:00:00,London,51.5073219,-0.1276474,2,198.6,0.0,7.97,65.8,3.34,6.97,7.41,0.09
2023-01-01 05:00:00,London,51.5073219,-0.1276474,2,198.6,0.0,7.71,65.8,3.31,5.79,6.12,0.1
2023-01-01 06:00:00,London,51.5073219,-0.1276474,2,200.27,0.0,7.11,65.8,3.16,5.67,5.98,0.09
2023-01-01 07:00:00,London,51.5073219,-0.1276474,2,203.61,0.0,6.68,66.52,3.07,5.2,5.54,0.1
2023-01-01 08:00:00,London,51.5073219,-0.1276474,2,205.28,0.0,6.08,66.52,2.92,4.6,5.08,0.09
2023-01-01 09:00:00,London,51.5073219,-0.1276474,2,203.61,0.0,4.84,63.66,2.5,3.65,4.25,0.07
2023-01-01 10:00:00,London,51.5073219,-0.1276474,2,201.94,0.0,4.2,60.08,2.38,3.48,4.32,0.07
2023-01-01 11:00:00,London,51.5073219,-0.1276474,2,200.27,0.0,3.81,60.08,2.35,3.65,5.29,0.08
2023-01-01 12:00:00,London,51.5073219,-0.1276474,2,195.26,0.0,3.64,61.51,2.44,3.77,6.27,0.09
2023-01-01 13:00:00,London,51.5073219,-0.1276474,2,193.6,0.0,3.68,62.23,2.59,3.94,7.46,0.1
2023-01-01 14:00:00,London,51.5073219,-0.1276474,2,193.6,0.0,4.03,60.8,2.86,3.76,7.1,0.11
2023-01-01 15:00:00,London,51.5073219,-0.1276474,1,198.6,0.0,4.84,58.65,3.28,3.68,6.91,0.12
2023-01-01 16:00:00,London,51.5073219,-0.1276474,1,205.28,0.0,7.71,55.07,4.29,3.81,7.25,0.19
2023-01-01 17:00:00,London,51.5073219,-0.1276474,1,210.29,0.01,10.8,51.5,5.07,4.04,8.08,0.27
2023-01-01 18:00:00,London,51.5073219,-0.1276474,1,211.95,0.01,12.34,50.07,5.54,4.04,9.0,0.31
2023-01-01 19:00:00,London,51.5073219,-0.1276474,1,211.95,0.07,12.34,51.5,5.96,3.86,9.66,0.32
2023-01-01 20:00:00,London,51.5073219,-0.1276474,1,210.29,0.14,11.31,51.5,5.96,3.77,9.99,0.29
2023-01-01 21:00:00,London,51.5073219,-0.1276474,1,206.95,0.2,10.37,50.78,5.72,3.95,9.9,0.26
2023-01-01 22:00:00,London,51.5073219,-0.1276474,1,205.28,0.17,10.28,49.35,5.54,4.32,10.43,0.27
2023-01-01 23:00:00,London,51.5073219,-0.1276474,1,206.95,0.15,12.17,46.49,6.2,4.93,11.43,0.31
2023-01-02 00:00:00,London,51.5073219,-0.1276474,1,208.62,0.1,14.39,44.35,6.97,5.34,11.26,0.34
2023-01-02 01:00:00,London,51.5073219,-0.1276474,1,213.62,0.03,18.51,39.34,8.23,5.75,9.72,0.34
2023-01-02 02:00:00,London,51.5073219,-0.1276474,1,220.3,0.06,24.68,31.47,9.42,6.03,8.15,0.33
2023-01-02 03:00:00,London,51.5073219,-0.1276474,1,226.97,0.16,29.13,24.68,10.01,5.85,6.98,0.32
2023-01-02 04:00:00,London,51.5073219,-0.1276474,1,240.33,0.64,36.33,15.38,11.68,5.86,6.65,0.35
2023-01-02 05:00:00,London,51.5073219,-0.1276474,2,257.02,2.24,43.18,6.08,13.23,6.35,7.07,0.38
2023-01-02 06:00:00,London,51.5073219,-0.1276474,2,263.69,3.86,44.55,2.66,13.11,6.63,7.37,0.37
2023-01-02 07:00:00,London,51.5073219,-0.1276474,2,267.03,4.14,42.84,2.41,12.28,6.55,7.29,0.36
2023-01-02 08:00:00,London,51.5073219,-0.1276474,1,260.35,2.51,39.41,4.34,10.73,5.94,6.59,0.31
2023-01-02 09:00:00,London,51.5073219,-0.1276474,1,243.66,0.65,32.22,10.37,8.34,4.83,5.34,0.2
2023-01-02 10:00:00,London,51.5073219,-0.1276474,1,233.65,0.25,25.7,16.81,7.75,3.98,4.48,0.17
2023-01-02 11:00:00,London,51.5073219,-0.1276474,1,226.97,0.11,21.08,22.89,7.75,3.37,3.92,0.17
2023-01-02 12:00:00,London,51.5073219,-0.1276474,1,220.3,0.05,17.14,29.68,7.33,2.84,3.41,0.16
2023-01-02 13:00:00,London,51.5073219,-0.1276474,1,216.96,0.02,14.39,37.19,6.91,2.39,2.88,0.16
2023-01-02 14:00:00,London,51.5073219,-0.1276474,1,213.62,0.01,14.39,40.41,7.33,2.23,2.64,0.15
2023-01-02 15:00:00,London,51.5073219,-0.1276474,1,216.96,0.01,15.59,41.48,8.11,2.21,2.6,0.17
2023-01-02 16:00:00,London,51.5073219,-0.1276474,1,226.97,0.07,22.28,33.97,10.01,2.66,3.16,0.33
2023-01-02 17:00:00,London,51.5073219,-0.1276474,1,236.99,0.34,30.85,23.25,11.44,3.16,3.83,0.5
2023-01-02 18:00:00,London,51.5073219,-0.1276474,1,240.33,0.71,32.9,16.81,11.32,3.31,4.24,0.6
2023-01-02 19:00:00,London,51.5073219,-0.1276474,1,233.65,1.34,26.39,22.17,9.66,2.9,4.07,0.59
2023-01-02 20:00:00,London,51.5073219,-0.1276474,1,230.31,1.82,19.36,32.19,8.46,2.28,3.37,0.53
2023-01-02 21:00:00,London,51.5073219,-0.1276474,1,223.64,1.76,14.57,38.98,7.33,1.78,2.72,0.51
2023-01-02 22:00:00,London,51.5073219,-0.1276474,1,220.3,1.98,13.71,38.62,7.09,1.66,2.54,0.53
2023-01-02 23:00:00,London,51.5073219,-0.1276474,1,226.97,2.85,18.68,31.83,8.94,2.11,3.08,0.61
2023-01-03 00:00:00,London,51.5073219,-0.1276474,1,236.99,2.74,25.36,25.39,10.73,2.53,3.53,0.65
2023-01-03 01:00:00,London,51.5073219,-0.1276474,1,253.68,2.68,39.41,11.35,12.16,3.5,4.56,0.68
2023-01-03 02:00:00,London,51.5073219,-0.1276474,2,283.72,11.62,50.72,0.86,13.35,5.26,6.42,0.69
