datetime,city,lat,lon,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2023-01-01 00:00:00,New Delhi,28.6138954,77.2090057,5,2162.93,0.06,71.29,30.76,34.33,185.34,226.09,16.21
2023-01-01 01:00:00,New Delhi,28.6138954,77.2090057,5,2189.64,0.07,65.8,29.33,30.99,188.77,230.98,13.05
2023-01-01 02:00:00,New Delhi,28.6138954,77.2090057,5,2296.45,0.2,65.8,22.53,28.85,197.36,242.04,11.27
2023-01-01 03:00:00,New Delhi,28.6138954,77.2090057,5,2216.34,0.33,63.75,18.06,24.32,193.33,235.44,8.49
2023-01-01 04:00:00,New Delhi,28.6138954,77.2090057,5,1949.31,0.25,55.52,18.24,18.6,174.78,209.27,5.76
2023-01-01 05:00:00,New Delhi,28.6138954,77.2090057,5,1789.09,0.24,47.98,17.34,16.69,168.08,198.76,5.32
2023-01-01 06:00:00,New Delhi,28.6138954,77.2090057,5,1735.69,0.36,43.87,14.31,16.45,168.37,197.65,5.38
2023-01-01 07:00:00,New Delhi,28.6138954,77.2090057,5,1695.63,0.61,41.13,10.64,16.69,170.73,199.59,5.57
2023-01-01 08:00:00,New Delhi,28.6138954,77.2090057,5,1668.93,0.89,39.07,8.49,16.93,169.16,196.23,5.64
2023-01-01 09:00:00,New Delhi,28.6138954,77.2090057,5,1655.58,1.66,39.41,5.9,17.88,169.29,194.64,5.83
2023-01-01 10:00:00,New Delhi,28.6138954,77.2090057,5,1869.2,6.82,42.16,1.99,22.17,182.84,211.08,7.66
2023-01-01 11:00:00,New Delhi,28.6138954,77.2090057,5,2510.07,27.72,43.87,0.02,30.04,220.25,260.68,11.4
2023-01-01 12:00:00,New Delhi,28.6138954,77.2090057,5,3150.94,55.43,44.55,0.85,35.76,252.9,304.12,13.55
2023-01-01 13:00:00,New Delhi,28.6138954,77.2090057,5,3471.37,68.84,45.24,5.45,39.1,266.36,322.8,14.19
2023-01-01 14:00:00,New Delhi,28.6138954,77.2090057,5,3578.19,64.37,55.52,14.13,44.35,276.54,336.79,16.21
2023-01-01 15:00:00,New Delhi,28.6138954,77.2090057,5,3578.19,46.94,76.09,33.26,50.54,295.4,357.07,19.25
