datetime,city,lat,lon,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2023-01-01 00:00:00,New York,40.7127281,-74.0060152,4,1134.87,104.61,69.23,0.46,8.11,50.21,61.68,4.12
2023-01-01 01:00:00,New York,40.7127281,-74.0060152,3,1121.52,101.92,64.43,0.44,9.42,48.14,59.03,4.18
2023-01-01 02:00:00,New York,40.7127281,-74.0060152,3,1054.76,97.45,56.89,0.51,10.25,44.33,54.28,4.24
2023-01-01 03:00:00,New York,40.7127281,-74.0060152,3,1001.36,93.88,51.41,0.53,11.32,40.88,50.1,4.56
2023-01-01 04:00:00,New York,40.7127281,-74.0060152,3,974.66,92.98,48.67,0.4,11.92,37.89,45.44,4.31
2023-01-01 05:00:00,New York,40.7127281,-74.0060152,3,974.66,93.88,47.3,0.25,11.32,35.06,40.64,3.48
2023-01-01 06:00:00,New York,40.7127281,-74.0060152,3,974.66,93.88,46.61,0.08,10.37,31.92,36.17,2.98
2023-01-01 07:00:00,New York,40.7127281,-74.0060152,3,988.01,96.56,47.98,0.01,9.54,30.09,33.7,2.85
2023-01-01 08:00:00,New York,40.7127281,-74.0060152,3,988.01,97.45,47.3,0.0,8.46,29.92,33.7,2.85
2023-01-01 09:00:00,New York,40.7127281,-74.0060152,3,947.95,87.62,47.3,0.0,6.97,29.53,33.77,2.91
2023-01-01 10:00:00,New York,40.7127281,-74.0060152,3,867.84,74.21,49.35,0.0,6.26,28.43,32.98,2.94
2023-01-01 11:00:00,New York,40.7127281,-74.0060152,2,741.0,53.64,50.72,0.0,5.9,22.58,26.64,2.37
2023-01-01 12:00:00,New York,40.7127281,-74.0060152,2,594.14,33.53,47.98,0.0,5.84,16.07,19.31,1.76
2023-01-01 13:00:00,New York,40.7127281,-74.0060152,2,487.33,16.99,45.93,0.02,5.72,11.69,13.89,1.17
2023-01-01 14:00:00,New York,40.7127281,-74.0060152,2,427.25,8.61,43.18,0.21,5.13,9.2,10.58,0.68
2023-01-01 15:00:00,New York,40.7127281,-74.0060152,1,380.52,4.02,35.64,1.54,4.41,7.0,7.94,0.5
2023-01-01 16:00:00,New York,40.7127281,-74.0060152,1,347.14,1.59,27.42,5.14,4.05,5.57,6.43,0.44
2023-01-01 17:00:00,New York,40.7127281,-74.0060152,1,333.79,0.73,22.96,10.1,4.05,5.44,6.44,0.38
2023-01-01 18:00:00,New York,40.7127281,-74.0060152,1,300.41,0.28,18.34,17.52,3.99,5.11,6.1,0.3
2023-01-01 19:00:00,New York,40.7127281,-74.0060152,1,273.7,0.15,15.42,22.71,3.58,4.36,5.28,0.28
2023-01-01 20:00:00,New York,40.7127281,-74.0060152,1,280.38,0.27,17.31,20.21,3.52,4.07,5.15,0.4
2023-01-01 21:00:00,New York,40.7127281,-74.0060152,1,327.11,1.9,26.05,9.3,3.73,5.26,7.17,0.86
2023-01-01 22:00:00,New York,40.7127281,-74.0060152,1,377.18,6.54,32.22,2.46,4.11,6.54,9.34,1.28
2023-01-01 23:00:00,New York,40.7127281,-74.0060152,1,383.85,7.26,31.87,5.99,4.41,6.1,9.11,1.38
2023-01-02 00:00:00,New York,40.7127281,-74.0060152,1,353.81,4.75,27.42,18.42,4.53,4.9,7.55,1.35
2023-01-02 01:00:00,New York,40.7127281,-74.0060152,1,310.42,3.07,18.16,38.98,3.7,3.18,4.95,1.01
2023-01-02 02:00:00,New York,40.7127281,-74.0060152,1,297.07,3.69,14.74,47.92,3.67,2.76,4.27,1.01
2023-01-02 03:00:00,New York,40.7127281,-74.0060152,1,293.73,4.02,13.19,52.93,3.61,2.67,4.05,1.01
2023-01-02 04:00:00,New York,40.7127281,-74.0060152,1,323.77,6.31,18.68,47.92,4.11,3.95,5.94,1.5
2023-01-02 05:00:00,New York,40.7127281,-74.0060152,1,377.18,9.39,29.13,35.05,4.89,5.99,9.06,2.22
2023-01-02 06:00:00,New York,40.7127281,-74.0060152,2,433.92,10.51,43.18,18.6,5.48,7.99,12.08,2.91
2023-01-02 07:00:00,New York,40.7127281,-74.0060152,2,574.11,26.38,58.26,1.22,5.01,13.46,19.65,4.43
2023-01-02 08:00:00,New York,40.7127281,-74.0060152,2,754.36,54.09,63.06,0.0,4.11,21.15,30.01,5.07
2023-01-02 09:00:00,New York,40.7127281,-74.0060152,3,894.55,70.63,65.8,0.0,3.49,28.93,40.46,4.43
2023-01-02 10:00:00,New York,40.7127281,-74.0060152,3,947.95,77.78,61.69,0.0,3.16,34.53,47.69,3.74
2023-01-02 11:00:00,New York,40.7127281,-74.0060152,3,921.25,73.31,57.58,0.0,3.04,34.97,48.37,3.29
2023-01-02 12:00:00,New York,40.7127281,-74.0060152,3,854.49,64.37,54.84,0.0,3.07,32.79,45.96,3.01
2023-01-02 13:00:00,New York,40.7127281,-74.0060152,3,741.0,47.39,54.84,0.0,3.55,26.59,37.8,2.41
2023-01-02 14:00:00,New York,40.7127281,-74.0060152,2,634.19,32.19,53.47,0.0,3.73,20.09,29.22,1.46
2023-01-02 15:00:00,New York,40.7127281,-74.0060152,2,560.76,24.59,49.35,0.0,4.23,16.51,23.88,1.19
2023-01-02 16:00:00,New York,40.7127281,-74.0060152,2,514.03,19.22,44.55,0.03,4.35,14.34,20.13,1.03
2023-01-02 17:00:00,New York,40.7127281,-74.0060152,2,467.3,15.2,40.44,0.13,4.29,13.06,17.85,0.94
2023-01-02 18:00:00,New York,40.7127281,-74.0060152,2,433.92,12.07,38.73,0.34,4.29,12.58,16.95,0.92
2023-01-02 19:00:00,New York,40.7127281,-74.0060152,2,410.56,9.61,37.7,0.75,4.17,11.98,16.25,0.92
2023-01-02 20:00:00,New York,40.7127281,-74.0060152,2,427.25,12.07,38.73,0.52,4.17,12.67,17.35,1.16
2023-01-02 21:00:00,New York,40.7127281,-74.0060152,2,574.11,33.08,43.53,0.02,4.23,20.05,27.41,2.41
2023-01-02 22:00:00,New York,40.7127281,-74.0060152,3,801.09,66.16,51.41,0.02,4.95,30.84,41.92,3.61
2023-01-02 23:00:00,New York,40.7127281,-74.0060152,3,947.95,89.41,56.89,0.66,6.32,37.55,51.43,4.31
2023-01-03 00:00:00,New York,40.7127281,-74.0060152,3,947.95,91.2,54.15,3.26,9.18,37.11,51.34,4.75
2023-01-03 01:00:00,New York,40.7127281,-74.0060152,2,687.6,52.3,47.98,6.79,13.83,23.52,33.1,3.89
2023-01-03 02:00:00,New York,40.7127281,-74.0060152,2,627.52,45.15,45.24,10.1,16.45,20.84,29.96,4.12
2023-01-03 03:00:00,New York,40.7127281,-74.0060152,2,594.14,40.68,45.24,13.05,17.88,19.49,28.37,4.12
2023-01-03 04:00:00,New York,40.7127281,-74.0060152,2,527.38,29.5,45.24,12.87,15.14,15.93,23.24,3.61
2023-01-03 05:00:00,New York,40.7127281,-74.0060152,2,580.79,33.53,52.09,6.26,15.5,17.44,25.15,4.5
2023-01-03 06:00:00,New York,40.7127281,-74.0060152,2,654.22,43.36,57.58,1.13,15.97,20.46,29.22,5.38
2023-01-03 07:00:00,New York,40.7127281,-74.0060152,3,921.25,85.83,59.63,0.01,14.07,33.0,45.49,7.73
2023-01-03 08:00:00,New York,40.7127281,-74.0060152,4,1361.85,155.57,61.69,0.0,11.68,57.19,75.61,9.25
2023-01-03 09:00:00,New York,40.7127281,-74.0060152,5,1815.8,223.52,63.06,0.0,10.13,86.51,111.23,8.74
2023-01-03 10:00:00,New York,40.7127281,-74.0060152,5,2296.45,293.25,65.12,0.0,9.06,122.16,151.53,8.04
