datetime,city,lat,lon,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2023-01-01 00:00:00,Seoul,37.5666791,126.9782914,5,934.6,38.44,93.22,0.0,68.66,95.25,112.69,3.13
2023-01-01 01:00:00,Seoul,37.5666791,126.9782914,5,821.11,15.42,90.48,0.1,55.31,106.79,124.6,1.57
2023-01-01 02:00:00,Seoul,37.5666791,126.9782914,5,814.44,9.95,90.48,0.27,50.07,119.94,138.36,1.16
2023-01-01 03:00:00,Seoul,37.5666791,126.9782914,5,841.14,9.05,89.11,0.32,45.3,130.19,148.74,1.39
2023-01-01 04:00:00,Seoul,37.5666791,126.9782914,5,867.84,10.95,85.68,0.23,41.01,133.84,151.72,2.31
2023-01-01 05:00:00,Seoul,37.5666791,126.9782914,5,921.25,17.88,80.2,0.05,43.39,132.76,150.26,3.67
2023-01-01 06:00:00,Seoul,37.5666791,126.9782914,5,988.01,31.74,76.77,0.0,52.45,131.32,149.17,5.13
2023-01-01 07:00:00,Seoul,37.5666791,126.9782914,5,1255.04,77.78,78.14,0.0,82.02,132.97,152.22,7.28
2023-01-01 08:00:00,Seoul,37.5666791,126.9782914,5,1495.36,126.96,82.25,0.0,106.81,132.36,153.08,8.99
2023-01-01 09:00:00,Seoul,37.5666791,126.9782914,5,1441.96,123.38,80.88,0.73,109.67,124.15,146.05,8.74
2023-01-01 10:00:00,Seoul,37.5666791,126.9782914,5,1174.93,75.1,71.97,7.87,109.67,110.85,133.94,6.52
2023-01-01 11:00:00,Seoul,37.5666791,126.9782914,5,1121.52,65.27,63.06,17.52,108.72,106.29,130.8,6.59
2023-01-01 12:00:00,Seoul,37.5666791,126.9782914,5,1054.76,55.88,57.58,25.03,103.95,100.27,125.78,6.08
2023-01-01 13:00:00,Seoul,37.5666791,126.9782914,3,620.84,18.78,34.96,52.21,57.22,45.45,58.17,3.01
2023-01-01 14:00:00,Seoul,37.5666791,126.9782914,3,473.98,10.73,26.39,63.66,40.05,27.46,34.92,2.12
2023-01-01 15:00:00,Seoul,37.5666791,126.9782914,2,420.57,7.93,23.99,64.37,34.81,20.77,26.51,2.03
2023-01-01 16:00:00,Seoul,37.5666791,126.9782914,2,427.25,7.1,30.5,55.79,34.33,19.18,24.79,2.37
2023-01-01 17:00:00,Seoul,37.5666791,126.9782914,2,473.98,4.81,45.93,36.48,35.29,19.71,25.63,3.1
2023-01-01 18:00:00,Seoul,37.5666791,126.9782914,2,507.35,1.73,61.69,16.81,36.72,19.24,24.97,3.74
2023-01-01 19:00:00,Seoul,37.5666791,126.9782914,2,520.71,2.4,61.69,11.8,38.62,17.87,23.3,4.05
2023-01-01 20:00:00,Seoul,37.5666791,126.9782914,2,487.33,1.17,52.09,18.6,38.62,15.35,20.42,3.99
2023-01-01 21:00:00,Seoul,37.5666791,126.9782914,2,433.92,0.35,40.44,30.04,37.19,12.93,17.58,3.7
2023-01-01 22:00:00,Seoul,37.5666791,126.9782914,2,400.54,0.2,34.27,35.05,36.24,11.42,15.65,3.45
2023-01-01 23:00:00,Seoul,37.5666791,126.9782914,2,390.53,0.16,32.22,35.41,35.29,10.64,14.77,3.39
2023-01-02 00:00:00,Seoul,37.5666791,126.9782914,2,367.16,0.07,26.73,39.7,32.42,9.68,13.83,3.32
2023-01-02 01:00:00,Seoul,37.5666791,126.9782914,2,367.16,0.08,25.7,40.05,32.9,9.54,13.8,3.51
