datetime,city,lat,lon,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2023-01-01 00:00:00,Tokyo,35.6828387,139.7594549,3,794.41,200.27,89.11,0.0,61.04,21.52,30.31,2.15
2023-01-01 01:00:00,Tokyo,35.6828387,139.7594549,3,660.9,126.96,72.66,0.0,38.62,15.81,22.03,1.77
2023-01-01 02:00:00,Tokyo,35.6828387,139.7594549,2,567.44,83.15,65.8,0.0,33.38,13.14,17.97,2.22
2023-01-01 03:00:00,Tokyo,35.6828387,139.7594549,2,514.03,63.48,63.75,0.0,34.81,12.41,16.66,2.85
2023-01-01 04:00:00,Tokyo,35.6828387,139.7594549,2,487.33,54.99,62.38,0.0,37.67,12.34,16.48,3.48
2023-01-01 05:00:00,Tokyo,35.6828387,139.7594549,2,467.3,52.3,60.32,0.0,39.58,12.32,16.63,3.64
2023-01-01 06:00:00,Tokyo,35.6828387,139.7594549,2,460.62,56.33,58.95,0.0,43.39,12.49,17.09,3.77
2023-01-01 07:00:00,Tokyo,35.6828387,139.7594549,2,507.35,78.68,60.32,0.0,61.04,13.88,19.22,4.56
2023-01-01 08:00:00,Tokyo,35.6828387,139.7594549,3,594.14,118.02,62.38,0.64,84.88,16.22,22.55,5.57
2023-01-01 09:00:00,Tokyo,35.6828387,139.7594549,3,667.57,151.99,63.06,3.49,98.23,18.56,25.83,5.64
2023-01-01 10:00:00,Tokyo,35.6828387,139.7594549,3,634.19,143.05,63.06,7.15,100.14,20.03,28.11,4.81
2023-01-01 11:00:00,Tokyo,35.6828387,139.7594549,3,640.87,148.42,67.86,9.39,108.72,23.33,32.69,4.18
2023-01-01 12:00:00,Tokyo,35.6828387,139.7594549,3,607.49,130.53,76.09,12.7,108.72,27.82,38.46,3.13
2023-01-01 13:00:00,Tokyo,35.6828387,139.7594549,3,507.35,97.45,85.68,18.42,104.9,31.2,41.61,1.95
2023-01-01 14:00:00,Tokyo,35.6828387,139.7594549,3,487.33,94.77,95.96,17.7,112.53,34.63,44.81,1.54
2023-01-01 15:00:00,Tokyo,35.6828387,139.7594549,3,473.98,85.83,102.82,14.13,117.3,34.89,44.27,1.27
2023-01-01 16:00:00,Tokyo,35.6828387,139.7594549,3,467.3,62.58,104.19,7.06,101.09,32.18,39.95,0.71
2023-01-01 17:00:00,Tokyo,35.6828387,139.7594549,3,423.91,36.21,95.96,0.5,69.62,26.12,32.12,0.34
2023-01-01 18:00:00,Tokyo,35.6828387,139.7594549,3,390.53,22.35,85.0,0.05,48.64,20.4,25.07,0.25
2023-01-01 19:00:00,Tokyo,35.6828387,139.7594549,3,410.56,29.95,77.46,0.03,47.21,18.74,23.17,0.54
2023-01-01 20:00:00,Tokyo,35.6828387,139.7594549,3,494.0,68.84,78.14,0.0,64.85,20.85,26.32,1.39
2023-01-01 21:00:00,Tokyo,35.6828387,139.7594549,3,634.19,143.05,87.05,0.0,90.6,25.9,33.18,2.12
2023-01-01 22:00:00,Tokyo,35.6828387,139.7594549,3,807.76,232.46,95.96,0.0,103.95,31.5,39.98,2.41
2023-01-01 23:00:00,Tokyo,35.6828387,139.7594549,3,867.84,261.07,97.33,0.0,83.92,33.06,41.27,1.99
2023-01-02 00:00:00,Tokyo,35.6828387,139.7594549,3,734.33,184.18,85.68,0.0,47.21,27.63,34.25,1.3
2023-01-02 01:00:00,Tokyo,35.6828387,139.7594549,3,534.06,66.16,74.03,0.0,30.52,15.47,19.74,1.09
2023-01-02 02:00:00,Tokyo,35.6828387,139.7594549,2,467.3,31.74,67.86,0.0,28.85,8.86,12.25,1.03
2023-01-02 03:00:00,Tokyo,35.6828387,139.7594549,2,447.27,28.16,62.38,0.0,29.33,6.67,10.03,1.01
2023-01-02 04:00:00,Tokyo,35.6828387,139.7594549,2,433.92,29.5,56.21,0.0,31.95,5.97,9.56,1.16
2023-01-02 05:00:00,Tokyo,35.6828387,139.7594549,2,420.57,30.4,53.47,0.0,34.33,5.91,9.79,1.33
2023-01-02 06:00:00,Tokyo,35.6828387,139.7594549,2,420.57,35.32,52.78,0.0,39.58,6.45,10.8,1.66
2023-01-02 07:00:00,Tokyo,35.6828387,139.7594549,2,447.27,51.86,55.52,0.0,55.79,7.75,13.05,2.53
2023-01-02 08:00:00,Tokyo,35.6828387,139.7594549,2,500.68,81.36,59.63,0.89,77.25,9.51,15.93,3.74
2023-01-02 09:00:00,Tokyo,35.6828387,139.7594549,3,534.06,105.5,62.38,4.92,90.6,10.65,17.95,4.43
2023-01-02 10:00:00,Tokyo,35.6828387,139.7594549,3,487.33,91.2,61.69,10.91,89.65,10.09,18.15,4.43
